server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
rs,put-only,100,4096,1,2,124711.9,331.9,795.5,1084.9,1415.7,,,,,,,9.65
ref,put-only,100,4096,1,3,110986.1,98.5,884.6,1202.2,1709.5,,,,,,,10.35
rs,put-only,100,4096,1,3,106247.2,259.3,843.2,2724.3,9182.0,,,,,,,10.66
ref,put-reserve-delete,10,16,16,1,224501.9,98.8,432.2,900.5,1123.1,381.9,777.5,1045.5,375.5,790.6,1037.4,11.47
rs,put-reserve-delete,10,16,16,1,225511.0,313.5,416.1,850.5,986.6,425.5,871.7,1014.5,410.7,841.0,998.5,11.11
ref,put-reserve-delete,10,16,16,2,210372.2,98.8,464.2,966.8,1327.3,406.5,833.5,1210.9,398.8,840.0,1188.8,11.10
rs,put-reserve-delete,10,16,16,2,213754.8,319.9,443.6,881.2,1071.8,454.7,906.4,1082.2,436.8,868.7,1051.5,11.01
ref,put-reserve-delete,10,16,16,3,209252.2,98.9,465.0,970.9,1344.8,410.0,839.5,1205.4,402.6,849.0,1167.2,11.25
rs,put-reserve-delete,10,16,16,3,215577.5,319.1,440.2,876.2,1174.8,451.6,903.1,1194.7,432.2,865.1,1139.9,11.15
ref,put-reserve-delete,100,16,16,1,193457.1,98.7,4596.7,9233.3,10913.3,4625.0,9191.8,12208.4,4395.2,8661.5,9739.7,11.54
rs,put-reserve-delete,100,16,16,1,78688.7,207.7,9562.9,19496.7,20288.4,13283.4,26868.8,28072.5,9655.6,18623.7,19608.4,11.82
ref,put-reserve-delete,100,16,16,2,204427.8,98.7,4346.5,8649.5,9527.7,4367.8,8693.7,9467.1,4157.0,8311.9,9123.6,11.46
rs,put-reserve-delete,100,16,16,2,81182.2,208.8,9280.2,19252.5,20208.5,12764.5,26104.5,27532.0,9272.2,18249.5,19621.0,11.67
ref,put-reserve-delete,100,16,16,3,202157.8,98.7,4357.2,8956.8,9880.9,4387.7,8717.0,9400.7,4243.8,8480.0,9448.0,11.77
rs,put-reserve-delete,100,16,16,3,78698.2,206.1,9865.5,20126.2,21923.4,13330.6,26751.0,28345.8,9509.9,19092.5,22715.8,11.63
